ORF,Batch,Gene,GO_process,GO_function,GO_component,deletion_phenotype,result_np:04_02_24_05:cisplatin:500:uM::::hom_09_02:5,significant_np:04_02_24_05:cisplatin:500:uM::::hom_09_02:5,rank_np:04_02_24_05:cisplatin:500:uM::::hom_09_02:5,result_np:04_03_17_06:cisplatin:500:uM::::hom_09_02:5,significant_np:04_03_17_06:cisplatin:500:uM::::hom_09_02:5,rank_np:04_03_17_06:cisplatin:500:uM::::hom_09_02:5,result_np:03_04_04_03:cisplatin:500:uM::::hom_05_01:20,significant_np:03_04_04_03:cisplatin:500:uM::::hom_05_01:20,rank_np:03_04_04_03:cisplatin:500:uM::::hom_05_01:20,result_np:03_04_04_04:cisplatin:500:uM::::hom_05_01:20,significant_np:03_04_04_04:cisplatin:500:uM::::hom_05_01:20,rank_np:03_04_04_04:cisplatin:500:uM::::hom_05_01:20
YPL167C,chr16_2,REV3,DNA repair*,zeta DNA polymerase activity,nucleus,viable,3.38166,1,11,3.97414,1,6,6.82697,1,4,6.4399,1,4
YOR346W,chr15_4,REV1,DNA repair*,DNA-directed DNA polymerase activity,nucleus,viable,3.32015,1,12,3.55428,1,10,7.19586,1,3,6.40849,1,5
YIL154C,chr9_2,IMP2',DNA repair*,transcription coactivator activity,cytoplasm,viable,3.28167,1,13,2.53506,1,20,3.31426,1,28,3.07603,1,33
YDR076W,chr4_4,RAD55,DNA recombinase assembly*,protein binding,nucleus,viable,3.24157,1,14,3.21785,1,12,2.68333,0,42,2.36136,0,58
YJL092W,chr10_2,HPR5,DNA repair*,DNA helicase activity,nucleus,viable,2.71483,1,15,2.57929,1,18,1.63109,0,118,1.46693,0,137
YGR258C,chr00_17a,RAD2,"nucleotide-excision repair, DNA incision, 3'-to lesion",single-stranded DNA specific endodeoxyribonuclease activity,nucleotide excision repair factor 3 complex,NA,2.66661,1,16,2.97142,1,14,6.27801,1,8,6.37816,1,6
YDR386W,chr4_7,MUS81,DNA repair*,endonuclease activity,nucleus,viable,2.54439,1,17,1.67346,0,46,4.1264,1,18,3.91814,1,19
YER083C,chr5_3,RMD7,cell wall organization and biogenesis,molecular_function unknown,endoplasmic reticulum,viable,2.42051,1,18,2.42261,1,23,1.53079,0,140,1.36283,0,162
YGL058W,chr7_1,RAD6,ubiquitin-dependent protein catabolism*,ubiquitin conjugating enzyme activity,cytoplasm*,viable,2.38663,1,19,1.86529,0,36,0,0,1656,0,0,1656
YER095W,chr00_8,RAD51,telomerase-independent telomere maintenance*,recombinase activity,nuclear chromosome*,viable,2.31624,1,20,3.00812,1,13,0.560003,0,559,0.267302,0,938
YIR002C,chr9_2,MPH1,DNA repair,RNA helicase activity,nucleus,viable,2.30339,1,21,2.1559,1,27,2.78577,1,37,2.84133,1,40
YJL047C,chr10_2,RTT101,ubiquitin-dependent protein catabolism*,protein binding*,cytoplasm*,viable,2.17398,1,22,1.93314,0,32,0.870398,0,345,0.48984,0,668
YIL132C,chr9_2,CSM2,meiotic chromosome segregation,molecular_function unknown,cytoplasm*,viable,2.15557,1,23,2.64068,1,16,4.09392,1,20,4.01852,1,17
YDL059C,chr4_1,RAD59,telomerase-independent telomere maintenance*,protein binding*,nucleus,viable,2.11122,1,24,2.14701,1,28,3.44335,1,25,3.16933,1,31
YBR098W,chr2_3,MMS4_p,DNA repair*,transcription coactivator activity*,nucleus,viable,2.08706,1,25,2.27077,1,24,3.45704,1,24,3.15919,1,32
YEL037C,chr5_2,RAD23,"nucleotide-excision repair, DNA damage recognition*",damaged DNA binding,repairosome*,viable,2.01642,1,26,2.45084,1,22,6.08971,1,10,4.09787,1,15
YMR073C,chr00_6,YMR073C,biological_process unknown,molecular_function unknown,cytoplasm,viable,1.98599,0,27,0.922632,0,157,3.97307,1,21,3.27306,1,29
YLR376C,chr12_5,PSY3,biological_process unknown,molecular_function unknown,cytoplasm*,viable,1.97984,0,28,2.62951,1,17,6.49199,1,7,3.28951,1,27
YDR075W,chr4_4,PPH3,protein amino acid dephosphorylation*,protein phosphatase type 2A activity,cytoplasm*,viable,1.95395,0,29,2.19507,1,26,3.39385,1,26,4.12205,1,14
YLR426W,chr00_4,YLR426W,biological_process unknown,molecular_function unknown,mitochondrion,viable,1.90105,0,30,0.827654,0,197,1.83782,0,90,1.67641,0,100
YCR009C,chr3_1,RVS161,endocytosis*,cytoskeletal protein binding,actin cortical patch (sensu Fungi)*,viable,1.87615,0,31,0.91084,0,159,1.15033,0,231,0.992263,0,304
YDL133W,chr4_2,YDL133W,biological_process unknown,molecular_function unknown,cellular_component unknown,viable,1.80742,0,32,1.42346,0,65,2.44627,0,50,1.65466,0,102
YMR038C,chr13_2,CCS1,intracellular copper ion transport,superoxide dismutase copper chaperone activity,cytosol*,viable,1.80271,0,33,1.93769,0,31,0.755028,0,406,1.58432,0,113
YHR191C,chr00_8,CTF8,mitotic sister chromatid cohesion,molecular_function unknown,DNA replication factor C complex,viable,1.77918,0,34,0.930333,0,153,0,0,1737,0,0,1737
YHR134W,chr8_2,WSS1,protein sumoylation,molecular_function unknown,cellular_component unknown,viable,1.7412,0,35,1.87915,0,35,-0.244698,0,2866,1.08636,0,261
YOR051C,chr15_1,YOR051C,biological_process unknown,molecular_function unknown,nucleus,viable,1.73143,0,36,1.13502,0,102,1.63773,0,115,2.02541,0,76
YJL165C,chr00_14,HAL5,cation homeostasis,protein kinase activity,cellular_component unknown,viable,1.72897,0,37,1.1289,0,104,3.22787,1,29,3.73131,1,21
YOR039W,chr15_1,CKB2,protein amino acid phosphorylation*,protein kinase CK2 activity,protein kinase CK2 complex,viable,1.72398,0,38,1.88716,0,34,1.85984,0,86,3.38205,1,24
YBR171W,chr2_3,SEC66,"SRP-dependent cotranslational membrane targeting, translocation",protein transporter activity,endoplasmic reticulum membrane,viable,1.70636,0,39,0.897778,0,167,-1.15121,0,4736,0.893964,0,351
YNL084C,chr14_3,END3,actin filament organization*,"protein binding, bridging",actin cortical patch (sensu Fungi),viable,1.68036,0,40,0.933714,0,151,1.36085,0,173,0.458289,0,698
YDR149C,chr4_5,YDR149C,NA,NA,NA,viable,1.64499,0,41,1.50735,0,60,-0.301942,0,3102,0.957138,0,320
YJL029C,chr00_13,VPS53,Golgi to vacuole transport*,molecular_function unknown,cytoplasm*,viable,1.63837,0,42,1.83572,0,37,0,0,1747,0,0,1747
YDR028C,chr4_3,REG1,negative regulation of transcription from Pol II promoter*,protein phosphatase type 1 activity*,cytoplasm*,viable,1.59951,0,43,1.90218,0,33,0,0,1564,0,0,1564
YKR072C,chr00_3,SIS2,G1/S transition of mitotic cell cycle*,phosphopantothenoylcysteine decarboxylase activity*,cytoplasm*,viable,1.59479,0,44,1.31159,0,75,0.738274,0,421,2.10183,0,73
YGL071W,chr7_1,RCS1,positive regulation of transcription from Pol II promoter*,transcription factor activity,cytoplasm*,viable,1.58722,0,45,1.31529,0,74,0,0,1658,0,0,1658
YMR190C,chr13_4,SGS1,mitotic sister chromatid segregation*,ATP-dependent DNA helicase activity,nucleolus,viable,1.5747,0,46,2.25879,1,25,0,0,1899,0,0,1899
YBR195C,chr2_4,MSI1,DNA repair*,molecular_function unknown,chromatin assembly complex*,viable,1.53743,0,47,0.813756,0,202,1.39689,0,159,1.29288,0,176
YJL117W,chr10_2,PHO86,secretory pathway*,molecular_function unknown,endoplasmic reticulum,viable,1.52668,0,48,1.75227,0,42,1.1513,0,230,0.86431500000000006,0,371
YJR104C,chr00_12,SOD1,zinc ion homeostasis*,"copper, zinc superoxide dismutase activity",cytosol*,viable,1.52434,0,49,1.70859,0,45,0,0,1776,0,0,1776
YPL240C,chr16_1,HSP82,response to stress*,"ATPase activity, coupled",cytoplasm,viable,1.52203,0,50,0.120888,0,1915,-0.192598,0,2650,-0.485395,0,3796
YGL175C,chr7_2,SAE2,meiotic DNA double-strand break processing,molecular_function unknown,cytoplasm*,viable,1.50054,0,51,0.858327,0,187,3.37935,1,27,4.06653,1,16
YKL126W,chr11_2,YPK1,protein amino acid phosphorylation*,protein serine/threonine kinase activity,plasma membrane*,viable,1.48864,0,52,0.71919,0,245,-0.932564,0,4705,0.987342,0,307
YDL066W,chr4_1,IDP1,glutamate biosynthesis*,isocitrate dehydrogenase (NADP+) activity,mitochondrion,viable,1.48566,0,53,0.684169,0,266,2.71308,0,40,1.63028,0,106
YDL160C,chr4_2,DHH1,deadenylylation-dependent decapping*,protein binding,cytoplasm*,viable,1.48477,0,54,1.59645,0,55,0,0,1554,0,0,1554
YNL250W,chr00_8,RAD50,double-strand break repair via nonhomologous end-joining*,protein binding*,nucleus,viable,1.46758,0,55,1.5222,0,59,0,0,1940,0,0,1940
YDR477W,chr4_8,SNF1,protein amino acid phosphorylation*,AMP-activated protein kinase activity,cytoplasm*,viable,1.45836,0,56,-0.900933,0,4574,0,0,1612,0,0,1612
YJL101C,chr00_15,GSH1,glutathione biosynthesis*,glutamate-cysteine ligase activity,intracellular,viable,1.44369,0,57,1.41373,0,66,0.537216,0,574,2.61335,0,47
YMR224C,chr13_4,MRE11,DNA repair*,protein binding*,nucleus,viable,1.43371,0,58,1.05925,0,121,0,0,1904,0,0,1904
YLR135W,chr12_3,SLX4,DNA replication*,5'-flap endonuclease activity,nucleus,viable,1.42971,0,59,1.46254,0,62,5.81352,1,12,4.43626,1,12
YGR180C,chr7_5,RNR4,DNA replication,ribonucleoside-diphosphate reductase activity,cytoplasm*,viable,1.42044,0,60,0.588674,0,354,0,0,1696,0,0,1696
YDR414C,chr4_7,ERD1,protein-ER retention,molecular_function unknown,membrane,viable,1.40682,0,61,0.963157,0,143,0.959435,0,308,1.20174,0,207
YKL212W,chr11_3,SAC1,dephosphorylation*,inositol or phosphatidylinositol phosphatase activity,integral to endoplasmic reticulum membrane*,viable,1.38204,0,62,1.61591,0,52,0.102169,0,1229,0.607369,0,558
YDR455C,chr4_8,YDR455C,NA,NA,NA,viable,1.37744,0,63,1.44543,0,64,1.75163,0,98,1.49125,0,134
YPR040W,chr16_4,TIP41,signal transduction,molecular_function unknown,cytoplasm*,viable,1.37076,0,64,1.59541,0,56,1.25939,0,201,1.21509,0,201
YNL068C,chr00_16b,FKH2,pseudohyphal growth*,transcription factor activity,nucleus,viable,1.36892,0,65,0.976022,0,139,0.646197,0,491,2.23353,0,65
YDR372C,chr4_7,VPS74,protein-vacuolar targeting,molecular_function unknown,cytoplasm*,viable,1.36378,0,66,0.219277,0,1372,2.22667,0,58,4.18036,1,13
YKR001C,chr11_3,VPS1,protein-vacuolar targeting*,GTPase activity,membrane fraction,viable,1.35996,0,67,1.62828,0,49,0,0,1801,0,0,1801
YIL034C,chr9_1,CAP2,cell wall organization and biogenesis*,protein binding,actin cortical patch (sensu Fungi)*,viable,1.35511,0,68,0.113088,0,1955,0.080705,0,1265,0.243096,0,985
YNL107W,chr00_16b,YAF9,chromatin remodeling,molecular_function unknown,cytoplasm*,viable,1.34295,0,69,0.101309,0,2022,1.10374,0,248,0.784231,0,421
YGL020C,chr7_1,MDM39,mitochondrion organization and biogenesis,molecular_function unknown,endoplasmic reticulum,viable,1.3146,0,70,0.390094,0,709,2.00273,0,76,1.12997,0,239
YBR100W,chr2_3/chr00_16a,MMS4_p1,DNA repair*,transcription coactivator activity*,nucleus,viable,1.30358,0,71,1.60082,0,53,0.849839,0,357,0.332336,0,853
YML117W,chr00_9,NAB6,biological_process unknown,RNA binding,cytoplasm,viable,1.3011,0,72,0.85952,0,186,1.05571,0,265,1.05967,0,269
YHL006C,chr8_1,SHU1,biological_process unknown,molecular_function unknown,cellular_component unknown,viable,1.29571,0,73,1.28031,0,81,6.7608,1,5,6.6466,1,3
YIL001W,chr9_1,YIL001W,biological_process unknown,molecular_function unknown,cytoplasm,viable,1.28134,0,74,0.388472,0,718,-0.351343,0,3340,0.109206,0,1226
YNL197C,chr14_2,WHI3,regulation of cell size,RNA binding,cytoplasm,viable,1.27855,0,75,0.943832,0,147,2.84301,1,36,2.52723,0,51
YNL070W,chr00_16b,TOM7,mitochondrial matrix protein import*,protein transporter activity,mitochondrial outer membrane translocase complex,viable,1.2772,0,76,1.36877,0,70,2.96951,1,33,2.97378,1,35
YCR094W,chr00_2,CDC50,regulation of transcription*,transcription regulator activity,late endosome*,viable,1.25903,0,77,0.477134,0,513,2.3526,0,55,1.23463,0,196
YOL049W,chr15_5,GSH2,glutathione biosynthesis,glutathione synthase activity,intracellular,viable,1.24838,0,78,2.47161,1,21,-0.382935,0,3502,-0.217923,0,2713
YLR240W,chr12_4,VPS34,protein amino acid phosphorylation*,protein kinase activity*,membrane fraction,viable,1.24438,0,79,1.01984,0,128,0,0,1838,0,0,1838
YDR162C,chr4_5,NBP2,biological_process unknown,molecular_function unknown,cellular_component unknown,viable,1.24421,0,80,0.661256,0,289,-0.935017,0,4706,-0.536365,0,4014
YBL046W,chr2_1,YBL046W,biological_process unknown,molecular_function unknown,nucleus,viable,1.23355,0,81,1.44719,0,63,4.15931,1,17,3.94361,1,18
YJL095W,chr10_2,BCK1,protein amino acid phosphorylation*,MAP kinase kinase kinase activity,intracellular,viable,1.21629,0,82,1.53265,0,58,-0.24724,0,2876,0.608556,0,556
YJL129C,chr00_14,TRK1,potassium ion homeostasis,potassium ion transporter activity,plasma membrane,viable,1.21538,0,83,0.967937,0,142,1.36277,0,172,1.321,0,170
YBR099C,chr2_3,YBR099C,NA,NA,NA,viable,1.18252,0,84,1.81417,0,39,4.09756,1,19,1.29264,0,177
YGR167W,chr7_5,CLC1,vesicle-mediated transport,structural molecule activity,clathrin vesicle coat,viable,1.16933,0,85,0.899561,0,166,0,0,1695,0,0,1695
YGR056W,chr7_4,RSC1,chromatin remodeling,molecular_function unknown,nucleosome remodeling complex,viable,1.16076,0,86,1.00839,0,130,0,0,1681,0,0,1681
YDR363W,chr4_7,ESC2,chromatin silencing at silent mating-type cassette (sensu Fungi),molecular_function unknown,nucleus,viable,1.15539,0,87,1.25668,0,84,1.57513,0,126,1.38663,0,151
YDR014W,chr4_3,RAD61,response to radiation,molecular_function unknown,nucleus,viable,1.15142,0,88,1.21546,0,90,1.72233,0,103,2.21342,0,67
YGR229C,chr00_2,SMI1,cell wall organization and biogenesis*,molecular_function unknown,nucleus*,viable,1.1458,0,89,0.529016,0,431,-0.236795,0,2825,-0.347702,0,3231
YIR033W,chr00_3,MGA2,positive regulation of transcription from Pol II promoter*,transcriptional activator activity,endoplasmic reticulum membrane,viable,1.13911,0,90,0.534874,0,424,-0.367408,0,3435,-0.435103,0,3583
YML032C,chr13_2,RAD52,telomerase-independent telomere maintenance*,DNA strand annealing activity,nucleus*,viable,1.13362,0,91,1.79707,0,41,0,0,1871,0,0,1871
YJL204C,chr10_1,RCY1,endocytosis,protein binding,site of polarized growth (sensu Saccharomyces),viable,1.13267,0,92,1.40395,0,68,1.56094,0,131,1.19717,0,208
YLR396C,chr12_5,VPS33,late endosome to vacuole transport*,ATP binding,cytosol*,viable,1.12986,0,93,1.58652,0,57,0,0,1862,0,0,1862
YOR345C,chr15_4,YOR345C,NA,NA,NA,viable,1.1181,0,94,1.23037,0,88,5.02648,1,14,2.04579,0,75
YDR540C,chr00_2,YDR540C,biological_process unknown,molecular_function unknown,cytoplasm*,viable,1.11683,0,95,0.722732,0,243,1.51034,0,142,1.33033,0,168
YDR484W,chr4_8,VPS52,Golgi to vacuole transport*,protein binding,Golgi apparatus*,viable,1.10951,0,96,0.79325,0,209,1.54677,0,135,1.14614,0,232
YIL153W,chr9_2,RRD1,DNA repair*,protein phosphatase type 2A regulator activity,cytosol*,viable,1.10597,0,97,0.903246,0,162,1.97562,0,77,3.06494,1,34
YDR291W,chr4_6,YDR291W,biological_process unknown,helicase activity,nucleus,viable,1.10324,0,98,1.29353,0,78,2.67066,0,43,2.53518,0,50
YCL016C,chr3_1,DCC1,mitotic sister chromatid cohesion,molecular_function unknown,DNA replication factor C complex,viable,1.0883100000000001,0,99,1.74459,0,43,0,0,1522,0,0,1522
YDR078C,chr4_4,SHU2,biological_process unknown,molecular_function unknown,cellular_component unknown,viable,1.05748,0,100,1.83054,0,38,3.85798,1,22,3.30678,1,26
YOR199W,chr15_3,YOR199W,NA,NA,NA,viable,1.05411,0,101,0.670455,0,281,0,0,1974,0,0,1974
YGR252W,chr00_17a,GCN5,histone acetylation*,histone acetyltransferase activity,SAGA complex*,NA,1.04705,0,102,0.610192,0,338,1.54466,0,137,0.578048,0,584
YDR293C,chr4_6,SSD1,cell wall organization and biogenesis,RNA binding,cytoplasm,viable,1.03771,0,103,1.29147,0,79,0.979806,0,297,0.861415,0,373
YLR148W,chr12_3,PEP3,late endosome to vacuole transport*,protein binding,vacuolar membrane (sensu Fungi)*,viable,1.03349,0,104,0.830773,0,195,0,0,1827,0,0,1827
YPL268W,chr00_15,PLC1,pseudohyphal growth*,phosphoinositide phospholipase C activity,nucleus*,viable,1.0334700000000001,0,105,0.615412,0,333,0,0,2010,0,0,2010
YGL019W,chr7_1,CKB1,protein amino acid phosphorylation*,protein kinase CK2 activity,protein kinase CK2 complex,viable,1.0236,0,106,0.699494,0,255,2.0461,0,69,2.68602,0,46
YJR139C,chr00_12,HOM6,methionine metabolism*,homoserine dehydrogenase activity,cytoplasm*,viable,1.02331,0,107,0.865565,0,182,-0.832676,0,4671,-0.579075,0,4182
YDR359C,chr4_7,VID21,chromatin modification,molecular_function unknown,histone acetyltransferase complex,viable,1.01168,0,108,1.05126,0,122,0,0,1598,0,0,1598
YGR170W,chr7_5,PSD2,phosphatidylcholine biosynthesis,phosphatidylserine decarboxylase activity,vacuolar membrane (sensu Fungi)*,viable,1.01157,0,109,1.01973,0,129,-0.161455,0,2523,0.3888,0,773
YNL298W,chr14_1,CLA4,protein amino acid phosphorylation*,protein serine/threonine kinase activity,actin cap (sensu Fungi),viable,1.01027,0,110,1.35543,0,71,0,0,1947,0,0,1947
YLL049W,chr00_8,YLL049W,biological_process unknown,molecular_function unknown,cellular_component unknown,viable,1.01006,0,111,0.384343,0,729,-0.277289,0,2999,-0.530613,0,3993
YNL314W,chr14_1,DAL82,transcription initiation from Pol II promoter*,transcriptional activator activity,nucleus,viable,0.992749,0,112,0.630225,0,320,1.1822,0,224,0.998495,0,300
YOR290C,chr15_4,SNF2,chromatin remodeling,general RNA polymerase II transcription factor activity,nucleosome remodeling complex*,viable,0.987667,0,113,1.30327,0,76,0.466118,0,648,0.357782,0,817
YIL029C,chr9_1,YIL029C,biological_process unknown,molecular_function unknown,cellular_component unknown,viable,0.986204,0,114,0.440318,0,584,0.497108,0,609,0.861293,0,374
YPR164W,chr16_5,MMS1,DNA repair*,molecular_function unknown,cellular_component unknown,viable,0.977649,0,115,0.917783,0,158,1.2305,0,211,1.03353,0,282
YCR098C,chr00_2,GIT1,glycerophosphodiester transport,glycerophosphodiester transporter activity,plasma membrane,viable,0.971161,0,116,0.539946,0,415,2.37807,0,54,0.742105,0,447
YBR219C,chr2_4,YBR219C,biological_process unknown,molecular_function unknown,cellular_component unknown,viable,0.969532,0,117,1.15619,0,97,1.81537,0,93,0.366956,0,803
YOR355W,chr15_4,GDS1,aerobic respiration,molecular_function unknown,cytoplasm*,viable,0.960775,0,118,0.222636,0,1353,1.03183,0,274,0.543875,0,614
YPR039W,chr16_4,YPR039W,NA,NA,NA,viable,0.960344,0,119,0.867169,0,181,0.505366,0,600,0.56699,0,592
YPL008W,chr16_3,CHL1,chromosome segregation*,DNA helicase activity,nucleus,viable,0.957582,0,120,1.65533,0,48,1.45897,0,147,1.27485,0,179
YDL048C,chr4_1,STP4,biological_process unknown,molecular_function unknown,cytoplasm*,viable,0.955173,0,121,0.490585,0,493,0.59762,0,526,0.954147,0,324
YBL022C,chr2_1,PIM1,proteolysis and peptidolysis*,ATP-dependent peptidase activity,mitochondrial matrix,viable,0.953056,0,122,0.711853,0,249,1.87979,0,83,2.77011,1,42
YBL006C,chr2_1,LDB7,cell wall mannoprotein biosynthesis,molecular_function unknown,cellular_component unknown,viable,0.949734,0,123,1.67321,0,47,1.09454,0,252,1.2341,0,197
YBR137W,chr2_3,YBR137W,biological_process unknown,molecular_function unknown,cytoplasm,viable,0.948052,0,124,0.221027,0,1364,-0.255968,0,2915,-0.262113,0,2887
YGL095C,chr7_1,VPS45,protein complex assembly*,unfolded protein binding,cytosol*,viable,0.947638,0,125,1.10004,0,113,0.710867,0,447,0.10139,0,1242
YER164W,chr00_5,CHD1,chromatin remodeling*,ATPase activity*,transcription elongation factor complex,viable,0.945679,0,126,-0.159432,0,3452,0.76147,0,403,0.86328,0,372
YDR264C,chr4_6,AKR1,endocytosis*,palmitoyltransferase activity,membrane,viable,0.939733,0,127,1.62243,0,50,0,0,1588,0,0,1588
YDL076C,chr4_1,RXT3,chromatin silencing,histone deacetylase activity,nucleus,viable,0.936754,0,128,0.778688,0,214,0.710139,0,448,1.25515,0,188
YBR231C,chr2_4,SWC5,chromatin remodeling,molecular_function unknown,nucleus*,viable,0.934426,0,129,1.24148,0,85,1.38564,0,166,1.18432,0,213
YGL012W,chr7_1,ERG4,ergosterol biosynthesis,delta24(24-1) sterol reductase activity,endoplasmic reticulum,viable,0.931508,0,130,1.10628,0,109,2.07123,0,67,2.35121,0,59
YNL243W,chr14_2,SLA2,cell wall organization and biogenesis*,"protein binding, bridging",actin cortical patch (sensu Fungi)*,viable,0.931377,0,131,1.59764,0,54,0,0,1937,0,0,1937
YOR323C,chr15_4,PRO2,proline biosynthesis,glutamate-5-semialdehyde dehydrogenase activity,cytoplasm*,viable,0.926763,0,132,-0.11663,0,3296,-0.260309,0,2933,-0.190863,0,2622
YLR338W,chr12_5,YLR338W,NA,NA,NA,viable,0.916348,0,133,1.0797,0,117,0,0,1854,0,0,1854
YBR187W,chr2_4,YBR187W,biological_process unknown,molecular_function unknown,vacuole (sensu Fungi),viable,0.90724,0,134,0.901207,0,164,0.307888,0,855,-0.096475,0,2306
YKR073C,chr00_3,YKR073C,NA,NA,NA,viable,0.904131,0,135,0.657115,0,295,0.726421,0,431,0.694491,0,480
YPL111W,chr16_2,CAR1,arginine catabolism to ornithine,arginase activity,cytosol,viable,0.901039,0,136,0.120085,0,1919,-0.789722,0,4643,-0.517667,0,3935
YPR045C,chr16_4,YPR045C,biological_process unknown,molecular_function unknown,nucleus,viable,0.895683,0,137,0.116615,0,1936,-0.49628,0,4030,-0.450966,0,3657
YNR070W,chr00_6,YNR070W,transport,"ATPase activity, coupled to transmembrane movement of substances",membrane,viable,0.890726,0,138,0.498071,0,482,-0.433607,0,3728,-0.692486,0,4514
YAL040C,chr1_1,CLN3,G1/S transition of mitotic cell cycle*,cyclin-dependent protein kinase regulator activity,nucleus,viable,0.887013,0,139,0.942932,0,148,0.027412,0,1399,0.250361,0,970
YPL234C,chr16_1,TFP3,vacuolar acidification,"hydrogen-transporting ATPase activity, rotational mechanism",hydrogen-transporting ATPase V0 domain,viable,0.886206,0,140,0.160391,0,1681,0.252952,0,933,0.483369,0,674
YMR077C,chr00_6,VPS20,late endosome to vacuole transport,molecular_function unknown,cytoplasm*,viable,0.883834,0,141,0.811715,0,205,0.25232,0,934,0.594013,0,566
YCL032W,chr3_1,STE50,signal transduction during conjugation with cellular fusion*,protein kinase regulator activity,cytoplasm,viable,0.882111,0,142,0.473658,0,518,-0.287242,0,3039,0.457018,0,699
YMR319C,chr00_8,FET4,intracellular copper ion transport*,iron ion transporter activity,integral to plasma membrane,viable,0.880538,0,143,0.688357,0,262,0.711779,0,446,0.617561,0,545
YKL190W,chr11_2,CNB1,cell wall organization and biogenesis*,calcium-dependent protein serine/threonine phosphatase activity,cytoplasm*,viable,0.878456,0,144,0.831927,0,194,0.555594,0,562,0.736783,0,452
YMR102C,chr00_9,YMR102C,biological_process unknown,molecular_function unknown,cellular_component unknown,viable,0.876352,0,145,0.560453,0,395,-0.238286,0,2835,0.065053,0,1328
YOR158W,chr15_2,PET123,protein biosynthesis,structural constituent of ribosome,mitochondrial small ribosomal subunit,viable,0.872298,0,146,0.987016,0,136,1.31482,0,188,2.19603,0,69
YMR048W,chr00_11,CSM3,DNA replication checkpoint*,molecular_function unknown,nucleus,viable,0.871858,0,147,0.7068,0,252,1.5614,0,130,0.867167,0,369
YLR320W,chr12_4,MMS22,double-strand break repair,molecular_function unknown,cellular_component unknown,viable,0.865826,0,148,0.105186,0,2002,0,0,1851,0,0,1851
YDL013W,chr4_1,HEX3,sporulation (sensu Fungi)*,DNA binding,nucleus,viable,0.864117,0,149,0.354227,0,812,0,0,1535,0,0,1535
YJL052W,chr10_2,TDH1,gluconeogenesis*,glyceraldehyde-3-phosphate dehydrogenase (phosphorylating) activity,cytosol*,viable,0.86287,0,150,0.748867,0,227,0.282017,0,891,0.039009,0,1395
YPR029C,chr16_4,APL4,vesicle-mediated transport,clathrin binding,AP-1 adaptor complex,viable,0.859464,0,151,0.414575,0,638,-0.008235,0,2052,-0.063966,0,2207
YPR038W,chr16_4,YPR038W,NA,NA,NA,viable,0.856851,0,152,0.968019,0,141,-0.074444,0,2237,-0.035761,0,2127
